,date,Price,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd,date_y,gdp_growth,interest_rate
0,2009-02-28,16.700000762939453,786.0,156.0,5888.0,1276.0,4611.0,2025-06-30,1.99,4.33
1,2009-05-31,28.18000030517578,705.0,126.0,6064.0,1263.0,4801.0,2025-03-31,1.99,4.33
2,2009-08-31,31.420000076293945,698.0,136.0,5962.0,1267.0,4695.0,2024-12-31,2.53,4.33
3,2009-11-30,35.08000183105469,757.0,-32.0,7282.0,2392.0,4891.0,2024-09-30,2.72,4.83
4,2010-02-28,34.650001525878906,859.0,127.0,7945.0,2774.0,5171.0,2024-06-30,3.04,5.33
5,2010-05-31,32.08000183105469,943.0,149.0,8007.0,2828.0,5179.0,2024-03-31,2.9,5.33
6,2010-08-31,27.700000762939453,990.0,230.0,7947.0,2862.0,5085.0,2023-12-31,3.2,5.33
7,2010-11-30,27.799999237060547,1008.0,269.0,8141.0,2949.0,5192.0,2023-09-30,3.24,5.33
8,2011-02-28,34.5,1028.0,235.0,8310.0,2885.0,5425.0,2023-06-30,2.83,5.12
9,2011-05-31,34.630001068115234,1023.0,229.0,8340.0,2950.0,5389.0,2023-03-31,2.28,4.83
10,2011-08-31,25.239999771118164,1013.0,195.0,8493.0,2929.0,5564.0,2022-12-31,1.32,4.33
11,2011-11-30,27.420000076293945,1152.0,174.0,8991.0,3208.0,5783.0,2022-09-30,2.3,3.08
12,2012-02-29,32.88999938964844,1045.0,185.0,9133.0,3146.0,5986.0,2022-06-30,2.48,1.68
13,2012-05-31,31.049999237060547,1124.0,224.0,9366.0,3266.0,6100.0,2022-03-31,4.01,0.33
14,2012-08-31,31.270000457763672,1081.0,201.0,9630.0,3191.0,6439.0,2021-12-31,5.72,0.08
15,2012-11-30,34.61000061035156,1153.0,222.0,10040.0,3375.0,6665.0,2021-09-30,4.98,0.08
16,2013-02-28,39.310001373291016,1008.0,65.0,10166.0,3360.0,6805.0,2021-06-30,12.24,0.1
17,2013-05-31,42.90999984741211,1011.0,77.0,10280.0,3353.0,6927.0,2021-03-31,1.76,0.07
18,2013-08-31,45.75,995.0,83.0,10234.0,3399.0,6835.0,2020-12-31,-1.02,0.09
19,2013-11-30,56.779998779296875,1042.0,65.0,10380.0,3656.0,6725.0,2020-09-30,-1.41,0.09
20,2014-02-28,68.62999725341797,1000.0,47.0,10246.0,3635.0,6611.0,2020-06-30,-7.5,0.09
21,2014-05-31,64.54000091552734,1068.0,89.0,10372.0,3735.0,6637.0,2020-03-31,1.28,0.05
22,2014-08-31,71.9000015258789,1005.0,45.0,10494.0,3762.0,6731.0,2019-12-31,3.35,1.55
23,2014-11-30,73.68000030517578,1073.0,88.0,10786.0,4010.0,6776.0,2019-09-30,2.8,1.83
24,2015-02-28,79.0999984741211,1109.0,85.0,11008.0,4419.0,6589.0,2019-06-30,2.24,2.4
25,2015-05-31,79.08999633789062,1162.0,147.0,11165.0,4555.0,6610.0,2019-03-31,1.93,2.42
26,2015-08-31,78.56999969482422,1218.0,174.0,11508.0,4667.0,6841.0,2018-12-31,2.13,2.4
27,2015-11-30,91.45999908447266,1306.0,223.0,11726.0,4725.0,7002.0,2018-09-30,3.13,2.19
28,2016-02-29,85.1500015258789,1383.0,254.0,11897.0,4815.0,7081.0,2018-06-30,3.3,1.91
29,2016-05-31,99.47000122070312,1399.0,244.0,12217.0,4968.0,7249.0,2018-03-31,3.33,1.69
30,2016-08-31,102.30999755859376,1464.0,271.0,12367.0,5089.0,7278.0,2017-12-31,2.99,1.41
31,2016-11-30,102.80999755859376,1608.0,400.0,12697.0,5272.0,7425.0,2017-09-30,2.41,1.15
32,2017-02-28,118.33999633789062,1682.0,398.0,13045.0,5456.0,7589.0,2017-06-30,2.33,1.15
33,2017-05-31,141.86000061035156,1772.0,374.0,13365.0,5561.0,7804.0,2017-03-31,2.09,0.9
34,2017-08-31,155.16000366210938,1841.0,420.0,13907.0,5736.0,8170.0,2016-12-31,2.18,0.65
35,2017-11-30,181.47000122070312,2007.0,502.0,14536.0,6076.0,8460.0,2016-09-30,1.81,0.4
36,2018-02-28,209.1300048828125,2079.0,583.0,14973.0,6339.0,8634.0,2016-06-30,1.49,0.39
37,2018-05-31,249.27999877929688,2195.0,663.0,15163.0,6458.0,8706.0,2016-03-31,1.8,0.37
38,2018-08-31,263.510009765625,2291.0,666.0,15396.0,6534.0,8862.0,2015-12-31,2.12,0.34
39,2018-11-30,250.88999938964844,2465.0,678.0,18769.0,9407.0,9362.0,2015-09-30,2.45,0.12
40,2019-02-28,262.5,2601.0,674.0,19506.0,9634.0,9871.0,2015-06-30,3.28,0.13
41,2019-05-31,270.8999938964844,2744.0,633.0,19666.0,9734.0,9932.0,2015-03-31,3.97,0.12
42,2019-08-31,284.510009765625,2834.0,793.0,20055.0,9812.0,10243.0,2014-12-31,2.69,0.11
43,2019-11-30,309.5299987792969,2992.0,851.0,20762.0,10232.0,10530.0,2014-09-30,3.06,0.09
44,2020-02-29,345.1199951171875,3091.0,955.0,21214.0,10749.0,10465.0,2014-06-30,2.69,0.09
45,2020-05-31,386.6000061035156,3128.0,1100.0,21603.0,10722.0,10881.0,2014-03-31,1.65,0.09
46,2020-08-31,513.3900146484375,3225.0,955.0,22414.0,10701.0,11713.0,2013-12-31,3.01,0.07
47,2020-11-30,478.4700012207031,3424.0,2250.0,24284.0,11020.0,13264.0,2013-09-30,2.24,0.09
48,2021-02-28,459.6700134277344,3905.0,1261.0,24985.0,11439.0,13546.0,2013-06-30,1.52,0.09
49,2021-05-31,504.5799865722656,3835.0,1116.0,25582.0,11730.0,13852.0,2013-03-31,1.7,0.15
50,2021-08-31,663.7000122070312,3935.0,1212.0,26144.0,11730.0,14414.0,2012-12-31,1.55,0.14
51,2021-11-30,669.8499755859375,4110.0,1233.0,27241.0,12444.0,14797.0,2012-09-30,2.57,0.16
52,2022-02-28,467.6799926757813,4262.0,1266.0,25976.0,12201.0,13775.0,2012-06-30,2.4,0.16
53,2022-05-31,416.4800109863281,4386.0,1178.0,26326.0,12341.0,13985.0,2012-03-31,2.64,0.14
54,2022-08-31,373.44000244140625,4433.0,1136.0,26744.0,12371.0,14373.0,2011-12-31,1.54,0.08
55,2022-11-30,344.92999267578125,4525.0,1176.0,27165.0,13114.0,14051.0,2011-09-30,0.94,0.07
56,2023-02-28,323.95001220703125,4655.0,1247.0,26667.0,12461.0,14206.0,2011-06-30,1.74,0.07
57,2023-05-31,417.7900085449219,4816.0,1295.0,27838.0,13000.0,14838.0,2011-03-31,2.04,0.1
58,2023-08-31,559.3400268554688,4890.0,1403.0,29090.0,13314.0,15776.0,2010-12-31,2.78,0.17
59,2023-11-30,611.010009765625,5048.0,1483.0,29779.0,13261.0,16518.0,2010-09-30,3.34,0.19
60,2024-02-29,560.280029296875,5182.0,620.0,28751.0,13291.0,15460.0,2010-06-30,2.91,0.18
61,2024-05-31,444.760009765625,5309.0,1573.0,30007.0,15164.0,14843.0,2010-03-31,1.75,0.2
62,2024-08-31,574.4099731445312,5408.0,1684.0,29830.0,15285.0,14545.0,2009-12-31,0.11,0.11
63,2024-11-30,515.9299926757812,5606.0,1683.0,30230.0,16125.0,14105.0,2009-09-30,-3.13,0.12
64,2025-02-28,438.55999755859375,5714.0,1811.0,29955.0,16860.0,13095.0,2009-06-30,-3.98,0.16
65,2025-05-31,415.0899963378906,5873.0,1691.0,28107.0,16659.0,11448.0,2009-03-31,-3.23,0.15
