,Date,Price,calendar_quarter
0,2008-09-30,19.394428253173828,Q3 2008
1,2008-10-31,16.22620964050293,Q4 2008
2,2008-11-30,14.792499542236328,Q4 2008
3,2008-12-31,14.221868515014648,Q4 2008
4,2009-01-31,12.509980201721191,Q1 2009
5,2009-02-28,11.895989418029785,Q1 2009
6,2009-03-31,13.531229019165039,Q1 2009
7,2009-04-30,14.92338752746582,Q2 2009
8,2009-05-31,15.48516845703125,Q2 2009
9,2009-06-30,17.620025634765625,Q2 2009
10,2009-07-31,17.434709548950195,Q3 2009
11,2009-08-31,18.37508773803711,Q3 2009
12,2009-09-30,19.172706604003906,Q3 2009
13,2009-10-31,20.67104721069336,Q4 2009
14,2009-11-30,22.02029037475586,Q4 2009
15,2009-12-31,22.82143783569336,Q4 2009
16,2010-01-31,21.099348068237305,Q1 2010
17,2010-02-28,21.566606521606445,Q1 2010
18,2010-03-31,22.032991409301758,Q1 2010
19,2010-04-30,22.97328758239746,Q2 2010
20,2010-05-31,19.495258331298828,Q2 2010
21,2010-06-30,17.387056350708008,Q2 2010
22,2010-07-31,19.502824783325195,Q3 2010
23,2010-08-31,17.829256057739258,Q3 2010
24,2010-09-30,18.604106903076172,Q3 2010
25,2010-10-31,20.260162353515625,Q4 2010
26,2010-11-30,19.30695152282715,Q4 2010
27,2010-12-31,21.332420349121094,Q4 2010
28,2011-01-31,21.194843292236328,Q1 2011
29,2011-02-28,20.435951232910156,Q1 2011
30,2011-03-31,19.521015167236328,Q1 2011
31,2011-04-30,19.928503036499023,Q2 2011
32,2011-05-31,19.354887008666992,Q2 2011
33,2011-06-30,20.12103843688965,Q2 2011
34,2011-07-31,21.20447540283203,Q3 2011
35,2011-08-31,20.71529769897461,Q3 2011
36,2011-09-30,19.383604049682617,Q3 2011
37,2011-10-31,20.73866081237793,Q4 2011
38,2011-11-30,20.07096290588379,Q4 2011
39,2011-12-31,20.369117736816406,Q4 2011
40,2012-01-31,23.17027473449707,Q1 2012
41,2012-02-29,25.068260192871094,Q1 2012
42,2012-03-31,25.478954315185547,Q1 2012
43,2012-04-30,25.289411544799805,Q2 2012
44,2012-05-31,23.205547332763672,Q2 2012
45,2012-06-30,24.318527221679688,Q2 2012
46,2012-07-31,23.42814064025879,Q3 2012
47,2012-08-31,24.663686752319336,Q3 2012
48,2012-09-30,23.81541633605957,Q3 2012
49,2012-10-31,22.839120864868164,Q4 2012
50,2012-11-30,21.477693557739258,Q4 2012
51,2012-12-31,21.55029296875,Q4 2012
52,2013-01-31,22.147354125976562,Q1 2013
53,2013-02-28,22.615442276000977,Q1 2013
54,2013-03-31,23.274383544921875,Q1 2013
55,2013-04-30,26.927019119262695,Q2 2013
56,2013-05-31,28.590417861938477,Q2 2013
57,2013-06-30,28.295503616333008,Q2 2013
58,2013-07-31,26.08363151550293,Q3 2013
59,2013-08-31,27.554405212402344,Q3 2013
60,2013-09-30,27.455406188964844,Q3 2013
61,2013-10-31,29.21261978149414,Q4 2013
62,2013-11-30,31.695152282714844,Q4 2013
63,2013-12-31,31.096649169921875,Q4 2013
64,2014-01-31,31.45408058166504,Q1 2014
65,2014-02-28,32.083553314208984,Q1 2014
66,2014-03-31,34.32797622680664,Q1 2014
67,2014-04-30,33.8338737487793,Q2 2014
68,2014-05-31,34.527984619140625,Q2 2014
69,2014-06-30,35.16895294189453,Q2 2014
70,2014-07-31,36.400272369384766,Q3 2014
71,2014-08-31,38.55405807495117,Q3 2014
72,2014-09-30,39.34330749511719,Q3 2014
73,2014-10-31,39.8440055847168,Q4 2014
74,2014-11-30,40.82976150512695,Q4 2014
75,2014-12-31,39.66831588745117,Q4 2014
76,2015-01-31,34.50161361694336,Q1 2015
77,2015-02-28,37.714412689208984,Q1 2015
78,2015-03-31,34.970760345458984,Q1 2015
79,2015-04-30,41.83419418334961,Q2 2015
80,2015-05-31,40.565185546875,Q2 2015
81,2015-06-30,38.219215393066406,Q2 2015
82,2015-07-31,40.426673889160156,Q3 2015
83,2015-08-31,37.92229080200195,Q3 2015
84,2015-09-30,38.56709289550781,Q3 2015
85,2015-10-31,45.869224548339844,Q4 2015
86,2015-11-30,47.67849349975586,Q4 2015
87,2015-12-31,48.669795989990234,Q4 2015
88,2016-01-31,48.327659606933594,Q1 2016
89,2016-02-29,44.954917907714844,Q1 2016
90,2016-03-31,48.798343658447266,Q1 2016
91,2016-04-30,44.06253433227539,Q2 2016
92,2016-05-31,47.15557098388672,Q2 2016
93,2016-06-30,45.52737045288086,Q2 2016
94,2016-07-31,50.429771423339844,Q3 2016
95,2016-08-31,51.442405700683594,Q3 2016
96,2016-09-30,51.56773376464844,Q3 2016
97,2016-10-31,53.64476013183594,Q4 2016
98,2016-11-30,54.31361770629883,Q4 2016
99,2016-12-31,56.00810241699219,Q4 2016
100,2017-01-31,58.27042007446289,Q1 2017
101,2017-02-28,58.01613998413086,Q1 2017
102,2017-03-31,59.72089385986328,Q1 2017
103,2017-04-30,62.078548431396484,Q2 2017
104,2017-05-31,63.69291687011719,Q2 2017
105,2017-06-30,62.862998962402344,Q2 2017
106,2017-07-31,66.30118560791016,Q3 2017
107,2017-08-31,68.5522689819336,Q3 2017
108,2017-09-30,68.29558563232422,Q3 2017
109,2017-10-31,76.26290893554688,Q4 2017
110,2017-11-30,77.55815124511719,Q4 2017
111,2017-12-31,78.82052612304688,Q4 2017
112,2018-01-31,87.54662322998047,Q1 2018
113,2018-02-28,86.80992889404297,Q1 2018
114,2018-03-31,84.4954833984375,Q1 2018
115,2018-04-30,86.57848358154297,Q2 2018
116,2018-05-31,91.90023803710938,Q2 2018
117,2018-06-30,91.6863784790039,Q2 2018
118,2018-07-31,98.63190460205078,Q3 2018
119,2018-08-31,104.84497833251953,Q3 2018
120,2018-09-30,106.74905395507812,Q3 2018
121,2018-10-31,99.69278717041016,Q4 2018
122,2018-11-30,103.94805908203125,Q4 2018
123,2018-12-31,95.2115249633789,Q4 2018
124,2019-01-31,97.89246368408203,Q1 2019
125,2019-02-28,105.46519470214844,Q1 2019
126,2019-03-31,111.02886962890625,Q1 2019
127,2019-04-30,122.9469985961914,Q2 2019
128,2019-05-31,116.863525390625,Q2 2019
129,2019-06-30,126.57694244384766,Q2 2019
130,2019-07-31,128.75965881347656,Q3 2019
131,2019-08-31,130.69580078125,Q3 2019
132,2019-09-30,131.80496215820312,Q3 2019
133,2019-10-31,135.91940307617188,Q4 2019
134,2019-11-30,144.00148010253906,Q4 2019
135,2019-12-31,150.013427734375,Q4 2019
136,2020-01-31,161.93270874023438,Q1 2020
137,2020-02-29,154.5343017578125,Q1 2020
138,2020-03-31,150.43275451660156,Q1 2020
139,2020-04-30,170.94064331054688,Q2 2020
140,2020-05-31,175.28106689453125,Q2 2020
141,2020-06-30,194.66001892089844,Q2 2020
142,2020-07-31,196.09481811523438,Q3 2020
143,2020-08-31,216.243896484375,Q3 2020
144,2020-09-30,201.6697998046875,Q3 2020
145,2020-10-31,194.13339233398438,Q4 2020
146,2020-11-30,205.79312133789062,Q4 2020
147,2020-12-31,213.82029724121094,Q4 2020
148,2021-01-31,222.9914093017578,Q1 2021
149,2021-02-28,223.9097137451172,Q1 2021
150,2021-03-31,227.1761474609375,Q1 2021
151,2021-04-30,242.98797607421875,Q2 2021
152,2021-05-31,241.13462829589844,Q2 2021
153,2021-06-30,261.62835693359375,Q2 2021
154,2021-07-31,275.1589050292969,Q3 2021
155,2021-08-31,292.1062316894531,Q3 2021
156,2021-09-30,272.79241943359375,Q3 2021
157,2021-10-31,320.8833312988281,Q4 2021
158,2021-11-30,320.471923828125,Q4 2021
159,2021-12-31,326.02655029296875,Q4 2021
160,2022-01-31,301.4620666503906,Q1 2022
161,2022-02-28,290.2441101074219,Q1 2022
162,2022-03-31,299.4918518066406,Q1 2022
163,2022-04-30,269.58245849609375,Q2 2022
164,2022-05-31,264.70916748046875,Q2 2022
165,2022-06-30,250.06532287597656,Q2 2022
166,2022-07-31,273.3454895019531,Q3 2022
167,2022-08-31,255.12347412109375,Q3 2022
168,2022-09-30,227.24691772460938,Q3 2022
169,2022-10-31,226.49560546875,Q4 2022
170,2022-11-30,249.648681640625,Q4 2022
171,2022-12-31,234.65841674804688,Q4 2022
172,2023-01-31,242.47645568847656,Q1 2023
173,2023-02-28,244.66307067871094,Q1 2023
174,2023-03-31,282.80157470703125,Q1 2023
175,2023-04-30,301.39996337890625,Q2 2023
176,2023-05-31,322.8311462402344,Q2 2023
177,2023-06-30,334.7754821777344,Q2 2023
178,2023-07-31,330.23370361328125,Q3 2023
179,2023-08-31,322.89404296875,Q3 2023
180,2023-09-30,311.0623474121094,Q3 2023
181,2023-10-31,333.09033203125,Q4 2023
182,2023-11-30,374.042236328125,Q4 2023
183,2023-12-31,371.2091369628906,Q4 2023
184,2024-01-31,392.4723815917969,Q1 2024
185,2024-02-29,409.0812072753906,Q1 2024
186,2024-03-31,416.0831604003906,Q1 2024
187,2024-04-30,385.0390930175781,Q2 2024
188,2024-05-31,411.2953186035156,Q2 2024
189,2024-06-30,442.82135009765625,Q2 2024
190,2024-07-31,414.4855651855469,Q3 2024
191,2024-08-31,414.0316467285156,Q3 2024
192,2024-09-30,427.09356689453125,Q3 2024
193,2024-10-31,403.32208251953125,Q4 2024
194,2024-11-30,421.1458435058594,Q4 2024
195,2024-12-31,419.196533203125,Q4 2024
196,2025-01-31,412.7917785644531,Q1 2025
197,2025-02-28,395.6121520996094,Q1 2025
198,2025-03-31,374.087158203125,Q1 2025
199,2025-04-30,393.88818359375,Q2 2025
200,2025-05-31,459.60443115234375,Q2 2025
201,2025-06-30,496.5936584472656,Q2 2025
202,2025-07-31,532.6243896484375,Q3 2025
203,2025-08-31,506.69000244140625,Q3 2025
204,2025-09-30,502.82000732421875,Q3 2025
